game_id,rated,start_time,end_time,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
136891385990,TRUE,1743462194000,1743462435000,36,resign,black,180+2,shanew012,305,Guesst8570791014,358,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Ne4 Na5 Bxd5 Qxd5 O-O Qxe4 Re1 Qg6 Rxe5+ Be7 Qe2 Bh3 Rxe7+ Kf8 Kf1 Bxg2+ Ke1 Nc6 Rxc7 Re8 Rc8 Rxc8 Kd1 Nd4 b3 Nxe2,C57,Italian Game Knight Attack Normal Variation,1
136891281786,TRUE,1743461892000,1743462154000,35,resign,white,180+2,shanew012,312,ApollosArc,296,e4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ exf6 Bc4 Qe7+ Ne2 Qc5 d3 f5 Be3 Qe5 d4 Qd6 Bf4 Qb4+ Nc3 Qxb2 O-O Qxc3 Re1+ Be7 Bd2 Qb2 Rb1 Qxd4 Rb4 O-O Bxf7+ Kxf7 Rxd4,B01,Scandinavian Defense Closed,4
136866873900,TRUE,1743413182000,1743413648000,63,mate,white,180+2,MPBPS,337,shanew012,296,e4 e5 Nf3 Nf6 c3 Nxe4 d4 Qe7 d5 d6 Qa4+ c6 Qxe4 g6 dxc6 Nxc6 Bb5 Bf5 Bxc6+ Bd7 Bxb7 Rd8 Bg5 f6 Be3 Bg7 O-O O-O Bd5+ Be6 Bxa7 Qxa7 Bxe6+ Kh8 Nbd2 f5 Qh4 Rde8 Ng5 Bf6 Bd5 Rb8 b4 Rb5 Bc4 d5 Bxb5 Qb7 a4 d4 cxd4 exd4 Rac1 d3 Rc6 Rc8 Rxf6 Rc2 Rf7 Rxd2 Rxb7 Rc2 Qxh7#,C42,Petrovs Defense,
136866803756,TRUE,1743413007000,1743413084000,15,mate,white,180+2,shanew012,303,Arcadiyo,310,e4 e5 Nf3 f6 Nxe5 fxe5 Qh5+ g6 Qxe5+ Be7 Qxh8 Kf7 Bc4+ Kf8 Qxg8#,C40,Kings Pawn Opening Kings Knight Variation,
136866759188,TRUE,1743412894000,1743413004000,19,resign,white,180+2,STpelin,385,shanew012,294,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qe2 f5 d3 Nc6 Nxc6 Be7 Nxd8 O-O dxe4 Bxd8 Nc3 Re8 Qc4+,C42,Petrovs Defense Classical Variation,
136866721304,TRUE,1743412799000,1743412890000,19,resign,white,180+2,Riju7777777,350,shanew012,300,e4 e5 Nf3 Nf6 Nc3 Bc5 h3 O-O Bc4 c6 d4 d5 dxe5 Nxe4 Nxe4 dxe4 Ng5 Qxg5 Bxg5,C42,Petrovs Defense Three Knights Game,
136855069820,TRUE,1743376140000,1743376478000,111,outoftime,white,120+1,shanew012,288,sivamos,145,e4 c5 Nf3 Nc6 Bc4 Nf6 Ng5 e6 O-O Ne5 Bb5 a6 Bd3 c4 Be2 b5 Nc3 b4 Na4 d5 exd5 exd5 Nc5 Bxc5 Bxc4 dxc4 d3 c3 bxc3 bxc3 d4 Bxd4 Be3 Bxe3 Qxd8+ Kxd8 fxe3 Bf5 Rfd1+ Ke7 Rd2 Rhd8 Rf2 Be4 Nxe4 Nxe4 Rf5 Rd5 Raf1 f6 R1f4 Nd2 Rh5 g5 Rxh7+ Ke6 Rg4 Nxg4 e4 Re5 h3 Ne3 g3 Nd1 h4 Rxe4 hxg5 Re1+ Kg2 fxg5 Rh6+ Ke5 Rh5 Re8 Rxg5+ Kf6 Rh5 R8e2+ Kh3 Rg1 Kg4 Rh2 Rh6+ Rxh6 Kf4 Rf1+ Kg4 Rg6+ Kh5 Ne4 Kh4 Nxg3 Kh3 Rh1+ Kg2 Rg1+ Kxg1 Ne4+ Kf1 Rg1+ Kxg1 Ng3 Kg2 Nf5 Kf3 Nd6 Ke2 Nb2 Ke3 Nbc4+ Kd4,B30,Sicilian Defense Old Sicilian Variation,1
136851970206,TRUE,1743368291000,1743368743000,98,mate,black,300,majidgbr,272,shanew012,308,e4 e5 f3 Nf6 g3 Nxe4 fxe4 Be7 b4 Bxb4 Bb2 h5 Bxe5 h4 Bxg7 hxg3 Bxh8 gxh2 Rxh2 Qe7 Rh6 Qxe4+ Qe2 Bxd2+ Kxd2 Qxe2+ Kxe2 b6 Bg7 Ba6+ Kd2 Bxf1 Rh8+ Ke7 Rh6 Nc6 Nc3 Rg8 Bf6+ Kf8 Rxf1 Nb4 Rf2 Nxa2 Nd5 Rxg1 Nxc7 Rc1 Rh7 Kg8 Rg7+ Kf8 Ne6+ fxe6 Be7+ Kxg7 Bf6+ Kg6 Bd8 Ra1 Rg2+ Kf5 Rg7 Nb4 Rxd7 Ra2 Be7 Rxc2+ Ke3 Rc3+ Kd4 Rd3+ Kc4 Rxd7 Bxb4 a5 Bxa5 bxa5 Kb5 Kf6 Kxa5 Ke7 Kb5 e5 Kc4 e4 Kc3 e3 Kc2 e2 Kc3 e1=Q+ Kc4 Qc1+ Kb3 Rb7+ Ka4 Qa1#,C20,Kings Pawn Opening,1
136851565734,TRUE,1743367428000,1743367903000,93,mate,draw,300,shanew012,300,DomiN8chess,321,e4 e5 Nf3 Qf6 b3 g5 Bb2 g4 Bxe5 Qe6 d4 gxf3 d5 Qxe5 g3 Qxa1 Qxf3 Bb4+ Ke2 b6 Qf5 Ba6+ Kf3 Qxb1 Qe5+ Ne7 Qxh8+ Ng8 Qxg8+ Ke7 Qg5+ f6 Qg7+ Kd6 Qxf6+ Kc5 Qe7+ d6 Qxc7+ Kd4 Qg7+ Kc5 Qc7+ Kd4 Bxa6 Nxa6 Qc4+ Ke5 Rxb1 Rf8+ Ke3 h6 Qxa6 Be1 Rxe1 Kf6 Qxa7 Rf7 Qxb6 Kg7 Qxd6 Rf6 Qd7+ Kg6 c4 Ra6 c5 Rxa2 c6 Ra3 c7 Rxb3+ Kf4 Rc3 c8=N Rb3 Qe6+ Kg7 d6 Rb7 d7 Rxd7 Qxd7+ Kf6 Qe7+ Kg6 Nd6 Kh5 Ne8 Kg6 Qf6+ Kh5 e5,C40,Kings Pawn Opening Kings Knight Variation,
136851376646,TRUE,1743367031000,1743367423000,85,resign,white,300,NukeSuper,312,shanew012,299,d4 Nf6 c3 Nc6 b4 g6 a3 Bg7 e3 O-O Bb5 a6 Bxc6 bxc6 a4 d5 b5 cxb5 axb5 axb5 Rxa8 Bg4 Rxd8 Rxd8 f3 Bh5 g4 Nxg4 fxg4 Bxg4 Qxg4 Ra8 Qd7 Ra1 Qxe7 Rxb1 Qe8+ Bf8 Kd1 b4 cxb4 Rxb4 Qc6 f5 Ba3 Rb1+ Kc2 Re1 Bxf8 Kxf8 Qxc7 Rxe3 Qxh7 Re4 Qh6+ Kf7 Qh7+ Kf6 Qh8+ Kg5 Nf3+ Kf4 Re1 Kxf3 Rxe4 Kxe4 Qe5+ Kf3 Qxd5+ Kf4 h4 Kg4 Qh1 Kh5 d5 g5 hxg5+ Kxg5 d6 f4 d7 f3 d8=Q+ Kg6 Qxf3,A45,Indian Game,1
