game_id,rating_diff,turns,victory_status
TZJHLljE,309,13,outoftime
l1NXvwaE,61,16,resign
mIICvQHh,-4,61,mate
kWKvrqYL,-15,61,mate
9tXo1AUZ,54,95,mate
qwU9rasv,97,33,resign
RVN0N3VK,-695,9,resign
dwF3DJHO,47,66,resign
afoMwnLg,172,119,mate
HgKLWPsz,109,39,mate
Vf5fKWzI,-486,38,resign
HRti5mKv,-555,60,resign
2fEjSei6,-226,31,resign
u7i6dOaJ,-47,31,mate
guanvMR5,47,43,resign
PmpkWkmm,-47,52,resign
EwaK0IsE,47,66,mate
yrSDozT3,-206,101,resign
x31mXlvc,406,25,resign
oQklnWWp,-582,14,resign
QFCZwY1f,26,3,resign
5cgBygpI,406,17,resign
UhXXBOMY,201,36,resign
mCij4hBq,-310,13,resign
ifUMWtVj,-141,69,mate
Wf0zuLQQ,746,43,resign
srz9QfSN,290,54,mate
NS6ccssb,-100,53,resign
M3vpf2Ki,-71,66,mate
fXhNOnOn,322,64,resign
DiCTkvZH,198,64,mate
FSkgvV2E,184,54,resign
F1mRjzPr,-481,21,resign
Lq24M4KQ,447,11,resign
lHNM8cl5,-856,19,resign
GfeEgLV3,591,28,resign
OR6aULrW,-522,22,resign
Yg006qwa,522,37,resign
G5S21pXK,1471,34,resign
r4LcBZA7,263,71,resign
SDDXGw21,522,30,resign
oqoT4DLS,1465,66,resign
eSociDPG,522,41,resign
mpzYDfIK,522,49,resign
27zreJYy,-522,3,resign
IRYkgI8N,365,7,resign
tLnhk43J,1458,35,mate
iq3Kz06t,1458,41,mate
AAw1TiNN,-522,5,resign
n4vRYUCW,522,7,resign
KYPdQv8e,-522,53,mate
p30PeXvE,522,36,resign
PBS4FEld,359,8,resign
0lDqWVlz,-93,3,resign
O3wdIwg7,34,28,resign
48ktrxLp,-28,30,resign
i2GBGO0R,163,44,resign
QZSTu1aT,59,29,resign
9tU9MM6P,-372,37,resign
ztpC1S2c,-6,49,resign
qc8aH5XL,-27,32,resign
6sTz6t7D,358,25,resign
XuyVUkDi,50,40,mate
D5Oa4vGO,181,39,resign
6QAiH2Yy,-35,57,resign
l7top9ps,-54,78,resign
nG3Of11I,83,61,resign
cUzM68JF,228,44,resign
NZSBXWl2,109,62,mate
DHuXFP6C,27,87,mate
00R4UOcU,-381,54,mate
IN15cBnB,48,54,resign
WYOts2ME,256,37,resign
oWFQ8mnz,42,50,resign
i2I8y9Xh,-157,131,resign
osPCRdxJ,141,48,resign
Mi1AmkiI,-526,47,resign
7kK30TmL,208,64,mate
ThCXomTn,116,61,resign
4dH72B3d,-131,57,mate
4jRtIZTy,-28,51,resign
wNK2HdLb,-294,58,mate
d62Tg4dc,129,71,resign
TaSQfvww,10,114,resign
Xwpzq87m,70,39,resign
AHmgnsKz,-50,20,resign
MfNml1rl,17,48,resign
mEAvshF2,-139,34,mate
ySsVdRfw,121,51,resign
ylLqmXwb,53,69,resign
8mceLIXN,143,28,resign
YmJpuJkM,-331,62,resign
PNNfempy,-401,62,mate
TVfozmF5,-271,85,mate
4LX77G3m,56,38,resign
nBfSissu,0,14,resign
OIyTAHCP,-14,62,resign
bnCnIJSz,203,101,resign
ZzWyY1f8,-131,75,outoftime
mkKSL3Ev,222,135,mate
aVwWNjNR,338,81,outoftime
DNUmSBH4,-71,46,resign
Tlng5eqN,-131,70,mate
wljkejE0,5,39,resign
iNZuj8bY,-29,91,resign
Kan2JKOp,259,137,outoftime
bCUwPEJ7,9,46,resign
zTwM10Si,118,18,resign
PBQ5Il7e,373,28,resign
z1LTn4pe,35,40,resign
7NKtCk3B,-66,111,mate
TMtvbg3w,11,54,mate
0OXPfTEt,-102,33,resign
YzMf40DM,62,90,resign
q3NHAFFp,116,90,resign
Gz7Icasx,0,40,mate
3n4poRIX,-234,49,outoftime
XRuQPSzH,330,50,resign
XPZikam7,781,59,mate
5SNh53F9,25,26,outoftime
ezdEKpqG,294,23,mate
WyQjriEX,149,118,mate
vAOIY0jj,-70,66,mate
dh2xQb3X,-121,36,mate
TKwuIzb6,-125,26,mate
s752sCLr,39,62,resign
lKYmVLZt,151,37,resign
dRhehsEy,-144,24,resign
7rbdtPwO,-32,47,resign
ahwTovI0,-38,37,resign
fgK91ojo,-136,24,resign
Cmhkui8U,61,9,resign
TRpFAEWd,-73,47,mate
btHFH9xr,43,85,mate
G9xaiPFl,-5,39,mate
RkMlSx4r,102,58,mate
Z1CTghfR,34,95,mate
X4QqWp8Q,239,2,resign
R6dF4yRx,11,97,mate
p7a4FGwp,0,30,resign
3udM9T6k,325,43,mate
hkMNenrh,91,11,resign
jrmlULM0,-9,72,mate
JbLparSt,-252,156,mate
mqZFkCf3,-398,18,resign
dZn9WLT5,-37,77,mate
MgL176RS,212,32,resign
V16nc5AF,-37,35,resign
GT8TdRlm,0,85,mate
2P2u5f63,-115,50,resign
15nlkNRf,3,111,resign
xwl41jna,0,65,outoftime
1zRjgcqm,-30,73,resign
vfnLULoh,-67,125,resign
ut6LIGPI,17,76,resign
1KbSJtjs,79,65,outoftime
cqrATt9o,48,41,mate
deKfSOPy,-39,59,resign
vQ1psjxd,20,70,resign
k1qV5HHz,-20,34,resign
QQ3iIM2V,-3,69,outoftime
GppFo58m,-48,63,resign
BoDJGVyk,29,107,resign
tqirXAEm,45,58,resign
GLC4oNZR,-9,34,resign
3eLsB99C,3,100,outoftime
M6zMVwqK,42,80,resign
yrQWTJVz,40,44,resign
aF6DiZZe,5,40,outoftime
0dm3RaQv,36,105,outoftime
BxxAvvER,-99,50,resign
Hysqcekp,-31,81,resign
oaKcGCrO,17,69,resign
xMezmOBz,-25,77,mate
46AuHfcq,-30,158,mate
SGqoxO3v,27,117,mate
pHJ5zXyE,-1,44,resign
WqMvA7iE,-1,40,resign
s3v6jMaX,1,59,resign
hl3zLZmV,-72,110,resign
PHYPEO42,68,30,resign
NgZ8xxFe,24,54,resign
1ZeBVc5V,-23,69,resign
OmwDxZpJ,7,178,mate
JewxmuG9,-26,136,resign
0gTDO6Av,16,124,mate
t7vvcwqO,20,96,resign
igSDFKv0,50,53,outoftime
facMwkUo,12,39,mate
j5KY62yS,12,10,mate
nyYULwUl,-9,51,mate
h0YsGMhj,-9,18,resign
o4T7dj5h,-337,106,mate
VgNt0SSX,-173,38,mate
UvqLtnPM,201,59,mate
1b0kpInt,56,111,mate
dJEtAQp7,-819,28,resign
ZPHBiKBY,142,101,outoftime
I8odmGjb,517,15,mate
DijZlfMy,-22,42,resign
LyRqbD4d,142,118,resign
CvakmVNb,-195,34,resign
O037dETy,-521,60,resign
CxQlHSnq,517,66,resign
Q0jogkvi,-211,21,outoftime
QurxyQkA,112,73,mate
mJ9VpdxV,-205,159,mate
edYOVb5F,69,74,resign
GstYv2mJ,-69,28,mate
dFQ5D7CS,-484,112,mate
2FpFvoMt,-166,104,resign
cywOBEY5,290,40,mate
pnU8dLUx,-260,44,mate
bCVL4bZl,376,60,mate
WUyPeYW8,-196,37,mate
xRY7h8aS,-510,88,outoftime
92UGyHOr,-2,113,mate
UqxaqU7R,21,55,mate
TTzZc8gW,-10,135,mate
GoYkQEoS,142,97,outoftime
DszY6Pr4,59,33,resign
FhJcOzZW,119,29,resign
kKFslhlg,-566,55,resign
VVkKGe4E,128,91,resign
11VaOez1,-14,53,resign
2akR3Bit,17,49,mate
mG2dEz4z,-110,48,mate
xrZnbIGD,-49,20,resign
lOU3lddA,1,87,mate
xYEVgk0W,-81,11,resign
ejaSwZEr,-22,24,resign
3ZfA3gFa,-182,23,resign
WoOqoYEL,-60,81,mate
EgoW2NiE,87,34,resign
ZctgRAt4,26,103,mate
VuZ0dzhO,50,29,resign
1cvi4Z6K,-11,22,resign
E83xJFBo,460,38,resign
hVSNfLer,17,46,mate
XyM6zTew,113,23,outoftime
5sEcA5zs,28,31,resign
wXnKMk3N,-49,51,resign
YPVYpEvm,354,87,mate
rth667hB,137,31,mate
rb7lq7dT,-101,38,resign
hxMTrlzW,247,43,resign
hfNJtVnd,49,105,resign
ijtzfFex,25,87,outoftime
Uc64bIGE,-25,36,mate
o1qwAoUy,102,38,resign
voV4ekhS,-101,110,resign
VUCRbEm8,10,48,resign
LDLdtyDj,-50,95,mate
Gr1n1AdP,50,70,mate
1TpYTEKR,-75,42,resign
AUzK1bj8,-74,177,outoftime
R5SfPQiB,155,114,mate
VXdhNTk5,-233,57,resign
kTRSenmv,-115,57,resign
PEIWrbTQ,57,29,mate
8hlHAFPF,-123,70,resign
BwBDbyKq,24,97,mate
E41MaCB9,-321,99,resign
UVbhSOnA,252,74,resign
HYMGpINp,189,48,mate
L9UeFctE,-25,77,mate
DbYHY9Bc,59,80,resign
7fftvkF6,-191,35,resign
IlQp1eqc,201,33,resign
atgsbOBS,136,87,mate
Kx4jd1Oo,37,40,resign
5vg0pHEg,-5,54,resign
5uNNVd3c,-31,67,resign
aGVLNoTY,-5,21,mate
W4eyc9dH,50,14,mate
l2My0J1h,-363,71,resign
eRHQGmr2,-334,72,outoftime
D45fTp2y,-27,62,resign
lTOKfWMv,331,48,resign
sd7oPNum,-394,6,outoftime
T3gAyyeH,133,72,resign
HDPjH5bD,-66,40,mate
cFSW3SMi,-43,29,mate
wsNnVC6Y,14,44,resign
UxvU6EN4,32,59,mate
mjXUQnww,3,115,resign
lC84DiKq,-6,70,resign
A17jdHS8,-37,36,resign
t5ixT6HN,-62,83,resign
vwQzM7Sg,139,43,resign
I4zyNfPo,-10,89,resign
6eQ92lsE,-55,96,resign
8BLA0IOl,25,116,mate
pMcUNK5E,-130,78,mate
Kzq2t2lB,130,77,mate
a0VRhASu,-130,70,mate
5gymGRgt,-35,27,resign
Vyrkyifp,105,102,resign
exEzRx87,-105,21,resign
i3YfxFdL,105,33,resign
8ctKV1wh,-92,74,resign
jVXtr42v,-84,65,resign
