opening_name,winner,outcome_count,total_games
Scandinavian Defense: Mieses-Kotroc Variation,white,164,259
Van't Kruijs Opening,white,126,368
French Defense: Knight Variation,black,121,271
Philidor Defense #3,black,67,198
Italian Game: Anti-Fried Liver Defense,black,73,180
Horwitz Defense,white,110,209
Sicilian Defense: Bowdler Attack,white,119,296
Queen's Pawn Game: Chigorin Variation,white,112,229
Queen's Pawn Game: Chigorin Variation,black,109,229
Sicilian Defense,white,149,358
Indian Game,black,100,181
Scandinavian Defense,black,123,223
Scotch Game,black,115,271
Horwitz Defense,black,94,209
Indian Game,white,69,181
Queen's Pawn Game: Mason Attack,white,116,232
Queen's Pawn Game: Mason Attack,black,103,232
Scotch Game,white,145,271
Italian Game: Anti-Fried Liver Defense,white,97,180
French Defense: Knight Variation,white,135,271
Sicilian Defense,draw,15,358
Caro-Kann Defense,white,109,199
Scandinavian Defense: Mieses-Kotroc Variation,black,89,259
Sicilian Defense,black,194,358
Philidor Defense #3,white,127,198
Italian Game: Anti-Fried Liver Defense,draw,10,180
Philidor Defense #2,white,89,193
Philidor Defense #2,black,96,193
Van't Kruijs Opening,black,226,368
French Defense: Knight Variation,draw,15,271
Queen's Pawn Game: Mason Attack,draw,13,232
Scandinavian Defense,draw,10,223
Sicilian Defense: Bowdler Attack,black,164,296
Caro-Kann Defense,black,83,199
Scandinavian Defense,white,90,223
Van't Kruijs Opening,draw,16,368
Philidor Defense #3,draw,4,198
Sicilian Defense: Bowdler Attack,draw,13,296
Horwitz Defense,draw,5,209
Philidor Defense #2,draw,8,193
Scotch Game,draw,11,271
Queen's Pawn Game: Chigorin Variation,draw,8,229
Caro-Kann Defense,draw,7,199
Indian Game,draw,12,181
Scandinavian Defense: Mieses-Kotroc Variation,draw,6,259
