rating_gap,outcome_type
309,Expected (Higher Rated Won)
61,Upset (Lower Rated Won)
4,Upset (Lower Rated Won)
15,Upset (Lower Rated Won)
54,Expected (Higher Rated Won)
97,Expected (Higher Rated Won)
695,Expected (Higher Rated Won)
47,Upset (Lower Rated Won)
172,Expected (Higher Rated Won)
109,Expected (Higher Rated Won)
486,Expected (Higher Rated Won)
555,Expected (Higher Rated Won)
226,Expected (Higher Rated Won)
47,Upset (Lower Rated Won)
47,Upset (Lower Rated Won)
47,Expected (Higher Rated Won)
47,Upset (Lower Rated Won)
206,Expected (Higher Rated Won)
406,Expected (Higher Rated Won)
582,Expected (Higher Rated Won)
26,Expected (Higher Rated Won)
406,Expected (Higher Rated Won)
201,Expected (Higher Rated Won)
310,Expected (Higher Rated Won)
141,Upset (Lower Rated Won)
746,Expected (Higher Rated Won)
290,Upset (Lower Rated Won)
100,Expected (Higher Rated Won)
71,Expected (Higher Rated Won)
322,Upset (Lower Rated Won)
198,Upset (Lower Rated Won)
184,Expected (Higher Rated Won)
481,Expected (Higher Rated Won)
447,Expected (Higher Rated Won)
856,Expected (Higher Rated Won)
591,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
1471,Expected (Higher Rated Won)
263,Upset (Lower Rated Won)
522,Expected (Higher Rated Won)
1465,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
365,Expected (Higher Rated Won)
1458,Expected (Higher Rated Won)
1458,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
522,Expected (Higher Rated Won)
522,Upset (Lower Rated Won)
522,Upset (Lower Rated Won)
359,Expected (Higher Rated Won)
93,Upset (Lower Rated Won)
34,Expected (Higher Rated Won)
28,Expected (Higher Rated Won)
163,Upset (Lower Rated Won)
59,Expected (Higher Rated Won)
372,Expected (Higher Rated Won)
6,Upset (Lower Rated Won)
27,Expected (Higher Rated Won)
358,Expected (Higher Rated Won)
50,Upset (Lower Rated Won)
181,Expected (Higher Rated Won)
35,Upset (Lower Rated Won)
