time_increment,victory_status,game_count
15+2,outoftime,6
5+10,resign,82
5+10,mate,51
20+0,mate,173
30+3,mate,4
10+0,draw,282
10+0,resign,4194
15+30,resign,8
15+0,resign,716
10+0,mate,2482
20+60,mate,4
20+60,resign,14
5+40,resign,3
8+0,resign,289
15+15,mate,296
15+15,resign,484
15+16,mate,4
11+0,resign,16
30+60,resign,1
15+5,resign,175
10+10,mate,108
10+10,resign,194
15+3,resign,36
18+0,resign,4
30+30,resign,120
20+25,draw,3
5+5,resign,413
30+0,resign,224
40+40,resign,2
20+0,resign,232
40+40,mate,2
16+0,resign,4
6+10,resign,12
8+10,resign,17
8+12,resign,3
7+12,resign,4
15+10,resign,294
20+5,resign,53
20+5,mate,26
15+5,mate,104
20+10,mate,32
20+10,resign,58
45+0,resign,24
15+0,draw,51
10+0,outoftime,763
5+8,resign,394
15+0,mate,436
8+0,outoftime,105
15+15,outoftime,31
15+15,draw,39
30+2,resign,4
25+0,resign,85
10+2,mate,73
7+2,outoftime,26
25+25,resign,21
15+0,outoftime,108
7+8,mate,9
6+6,mate,8
15+5,draw,17
16+0,mate,7
8+0,mate,167
10+4,resign,21
12+0,outoftime,9
30+0,mate,120
7+2,mate,106
7+2,resign,119
5+8,outoftime,64
15+1,mate,28
15+1,resign,19
15+1,draw,1
10+2,resign,89
2+10,resign,18
9+0,resign,40
10+9,resign,6
15+3,draw,5
6+7,resign,8
15+30,mate,6
15+2,mate,27
30+10,resign,52
30+15,resign,7
5+5,outoftime,70
10+3,resign,84
45+30,mate,3
9+2,resign,8
6+6,resign,13
5+8,mate,215
10+3,outoftime,17
7+3,resign,18
7+3,mate,20
6+5,resign,26
10+2,outoftime,17
20+0,draw,19
25+5,resign,14
5+7,resign,22
8+10,draw,1
8+2,resign,28
20+8,resign,12
16+0,outoftime,7
25+0,mate,48
15+10,draw,36
15+3,mate,16
30+5,resign,25
25+15,mate,2
15+7,resign,7
8+8,resign,53
5+9,resign,5
16+7,resign,1
10+10,outoftime,16
10+7,mate,10
5+8,draw,24
7+5,draw,5
5+5,mate,226
5+5,draw,29
10+3,mate,40
10+3,draw,8
15+2,resign,60
40+20,resign,1
15+2,draw,7
10+5,mate,179
11+5,mate,2
11+5,resign,7
10+5,resign,336
10+15,resign,58
7+5,mate,17
180+0,outoftime,9
17+5,mate,1
8+5,mate,29
10+9,mate,4
3+8,resign,15
60+120,resign,1
90+120,mate,1
15+8,resign,48
9+1,resign,14
9+3,resign,7
2+15,resign,6
10+1,mate,20
5+12,resign,6
60+10,resign,1
5+60,resign,12
8+0,draw,27
25+0,draw,6
8+15,resign,4
11+0,mate,19
30+25,resign,2
12+1,outoftime,2
15+10,mate,109
14+0,resign,17
5+60,draw,7
9+0,mate,37
60+20,resign,1
10+8,resign,60
20+3,mate,22
14+12,resign,2
12+0,resign,34
10+1,resign,40
7+7,resign,32
10+10,draw,37
20+60,draw,7
60+0,draw,8
45+45,resign,70
4+15,resign,1
5+6,resign,21
180+0,resign,39
180+180,draw,7
180+180,resign,42
8+3,resign,13
4+6,resign,17
20+0,outoftime,24
10+25,resign,10
3+10,resign,5
7+4,resign,30
8+5,resign,33
6+3,mate,8
5+15,resign,21
45+15,resign,4
15+20,mate,6
30+10,mate,13
6+8,resign,16
10+15,mate,35
3+8,mate,12
6+9,mate,2
7+5,resign,40
14+8,draw,2
10+5,draw,21
6+4,resign,17
15+5,outoftime,18
180+0,mate,20
7+3,outoftime,5
15+4,mate,2
45+0,mate,9
9+20,resign,2
20+15,resign,45
10+8,mate,48
20+2,mate,5
12+0,mate,18
9+10,resign,7
180+180,mate,12
8+7,draw,3
8+5,draw,5
4+6,mate,14
60+0,resign,25
13+1,mate,2
15+10,outoftime,22
60+0,mate,28
150+180,outoftime,2
150+180,resign,2
3+12,mate,2
7+10,mate,6
10+60,outoftime,1
9+1,mate,6
9+1,draw,3
5+40,outoftime,1
5+30,resign,9
10+7,resign,6
6+5,mate,14
10+8,outoftime,9
10+8,draw,6
20+30,resign,10
30+3,resign,2
14+10,resign,2
25+10,resign,16
5+30,mate,4
8+1,mate,6
14+0,mate,8
20+8,outoftime,2
30+30,mate,32
8+2,draw,2
19+0,resign,5
2+10,mate,12
9+12,resign,2
40+20,draw,1
15+30,draw,1
9+3,mate,6
20+1,resign,10
20+1,draw,2
0+25,mate,2
0+25,resign,2
8+5,outoftime,3
0+15,resign,6
15+6,mate,5
8+6,resign,4
8+6,mate,4
10+6,draw,1
25+8,resign,3
15+14,resign,23
15+14,mate,11
15+14,draw,1
15+14,outoftime,1
15+6,resign,4
20+20,resign,25
17+5,resign,4
13+10,resign,3
